Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY
2013/09/08,14:00:00,0,0.8378340000000003,13.5,0.242
2013/09/08,15:00:00,0,0.8386231999999996,13.5,0.242
2013/09/08,16:00:00,0,0.8356168000000003,13.4,0.242
2013/09/08,17:00:00,0,0.8405664000000002,13.5,0.242
2013/09/08,18:00:00,0,0.8347126000000002,13.5,0.242
2013/09/08,19:00:00,0,0.8364202000000001,13.5,0.242
2013/09/08,20:00:00,0,0.8365663999999993,13.5,0.242
2013/09/08,21:00:00,0,0.8363488219999999,13.4,0.242
2013/09/08,22:00:00,0,0.8365237999999999,13.5,0.242
2013/09/08,23:00:00,0,0.8349042000000009,13.5,0.242
2013/09/09,00:00:00,0,0.834674520000001,13.5,0.243
2013/09/09,01:00:00,0,0.8358418599999982,13.4,0.243
2013/09/09,02:00:00,0,0.834786458000001,13.4,0.243
2013/09/09,03:00:00,0,0.8345884600000011,13.5,0.243
2013/09/09,04:00:00,0,0.8299162000000001,13.5,0.244
2013/09/09,05:00:00,0,0.8328860780000003,13.4,0.243
2013/09/09,06:00:00,0,0.8313305399999991,13.5,0.243
2013/09/09,07:00:00,0,0.8333682999999996,13.4,0.243
2013/09/09,08:00:00,0,0.830520418000001,13.4,0.243
2013/09/09,09:00:00,0,0.8303929380000011,13.4,0.243
2013/09/09,10:00:00,0,0.8320584199999996,13.5,0.243
2013/09/09,11:00:00,0,0.8330353980000007,13.5,0.244
2013/09/09,12:00:00,0,0.8331265180000014,13.5,0.244
2013/09/09,13:00:00,0,0.8283508199999994,13.5,0.244
2013/09/09,14:00:00,0,0.8295598999999992,13.5,0.244
2013/09/09,15:00:00,0,0.8319922599999995,13.5,0.244
2013/09/09,16:00:00,0,0.8312195200000008,13.6,0.245
2013/09/09,17:00:00,0,0.8303516799999988,13.5,0.245
2013/09/09,18:00:00,0,0.8303076799999997,13.6,0.245
2013/09/09,19:00:00,0,0.8275810379999985,13.6,0.245
2013/09/09,20:00:00,0,0.8292139779999991,13.5,0.245
2013/09/09,21:00:00,0,0.8356890999999984,13.7,0.247
